DrawNumber,drawDate,Number,Distance,NumberofDrawsWhenHit,IsBonusNumber,TotalHits,IsHot_True
3447,2025-02-05,1,-0.1276868728228773,-0.2850308263916666,False,-0.09119238457849926,True
3447,2025-02-05,2,-0.3095664300415106,-0.2850308263916666,False,-0.3749020254893845,True
3447,2025-02-05,3,-1.0370846589160436,-0.004578808456091023,False,-1.6515954095883683,False
3447,2025-02-05,4,0.7817109132702891,-0.2850308263916666,False,-0.2330472050339419,True
3447,2025-02-05,5,2.2367473710193555,-0.2850308263916666,False,1.0436461790650418,False
3447,2025-02-05,6,0.7817109132702891,-0.2850308263916666,False,-0.942321307311155,True
3447,2025-02-05,7,-0.4914459872601439,-0.2850308263916666,False,0.050662435876943364,True
3447,2025-02-05,8,-0.6733255444787771,-0.2850308263916666,False,0.7599365381541565,True
3447,2025-02-05,9,-0.6733255444787771,-0.2850308263916666,False,0.6180817176987139,True
3447,2025-02-05,10,-0.8552051016974104,-0.2850308263916666,False,0.192517256332386,True
3447,2025-02-05,11,1.1454700277075556,-0.2850308263916666,False,-0.6586116664002698,False
3447,2025-02-05,12,1.6911086993634556,-0.2850308263916666,False,0.9017913586095991,False
3447,2025-02-05,13,-1.0370846589160436,5.04355751438427,False,1.327355819975927,False
3447,2025-02-05,14,-0.6733255444787771,-0.2850308263916666,False,1.6110654608868122,True
3447,2025-02-05,15,-0.4914459872601439,-0.2850308263916666,False,1.4692106404313696,True
3447,2025-02-05,16,-0.4914459872601439,-0.2850308263916666,False,0.050662435876943364,True
3447,2025-02-05,17,-1.0370846589160436,0.5563252274150602,False,0.6180817176987139,False
3447,2025-02-05,18,0.23607224161438922,-0.2850308263916666,False,-1.5097405891329256,True
3447,2025-02-05,19,1.5092291421448223,-0.2850308263916666,False,-0.5167568459448272,False
3447,2025-02-05,20,0.23607224161438922,-0.2850308263916666,False,0.7599365381541565,True
3447,2025-02-05,21,-0.4914459872601439,-0.2850308263916666,False,-0.2330472050339419,True
3447,2025-02-05,22,-0.4914459872601439,-0.2850308263916666,False,-0.2330472050339419,True
3447,2025-02-05,23,-1.0370846589160436,1.9585853170929381,False,0.192517256332386,False
3447,2025-02-05,24,0.7817109132702891,-0.2850308263916666,False,-1.5097405891329256,True
3447,2025-02-05,25,1.5092291421448223,-0.2850308263916666,False,-0.2330472050339419,False
3447,2025-02-05,26,-0.1276868728228773,-0.2850308263916666,False,0.6180817176987139,True
3447,2025-02-05,27,4.055542943205688,-0.2850308263916666,False,0.9017913586095991,False
3447,2025-02-05,28,1.6911086993634556,-0.2850308263916666,False,-0.5167568459448272,False
3447,2025-02-05,29,0.9635904704889223,-0.2850308263916666,False,-0.942321307311155,False
3447,2025-02-05,30,-0.6733255444787771,-0.2850308263916666,False,-1.7934502300438109,True
3447,2025-02-05,31,0.7817109132702891,-0.2850308263916666,False,1.7529202813422549,True
3447,2025-02-05,32,-1.0370846589160436,1.397681281221787,False,-0.09119238457849926,False
3447,2025-02-05,33,1.1454700277075556,-0.2850308263916666,False,0.33437207678782865,False
3447,2025-02-05,34,2.054867813800722,-0.2850308263916666,False,-0.8004664868557124,False
