Number,HitsLastMonth,MissStreak,MissStreak_RollingMean,MissStreak_RollingStd,MissStreak_RollingSum,ThompsonProb
49,0.0,0,0.0,0.0,0.0,0.21892506644454376
1,0.0,0,0.0,0.0,0.0,0.12267805868401162
2,1.0,2,0.6666666666666666,1.1547005383792517,2.0,0.4363033670798438
3,1.0,0,0.3333333333333333,0.5773502691896258,1.0,0.7792015310931385
4,0.0,0,0.0,0.0,0.0,0.13033275067809105
5,1.0,0,0.3333333333333333,0.5773502691896258,1.0,0.7593370983499074
6,0.0,0,0.0,0.0,0.0,0.03516492670853252
7,0.0,0,0.0,0.0,0.0,0.4482764866637584
8,1.0,0,0.3333333333333333,0.5773502691896258,1.0,0.5193485573349877
9,0.0,0,0.0,0.0,0.0,0.16599693979259517
10,0.0,0,0.0,0.0,0.0,0.22284291058598496
11,0.0,0,0.0,0.0,0.0,0.35582052313244283
12,0.0,0,0.0,0.0,0.0,0.3652937119841137
13,2.0,1,0.3333333333333333,0.5773502691896258,1.0,0.9530031636891831
14,0.0,0,0.0,0.0,0.0,0.16343474559925125
15,1.0,2,0.6666666666666666,1.1547005383792517,2.0,0.3391382460430975
16,0.0,0,0.0,0.0,0.0,0.5431138193021013
17,1.0,2,0.6666666666666666,1.1547005383792517,2.0,0.3283892255519497
18,0.0,0,0.0,0.0,0.0,0.02848101290933167
19,0.0,0,0.0,0.0,0.0,0.1163511452526211
20,1.0,0,0.3333333333333333,0.5773502691896258,1.0,0.43283623768882457
21,0.0,0,0.0,0.0,0.0,0.0630984327381549
22,0.0,0,0.0,0.0,0.0,0.2711821441885391
23,0.0,0,0.0,0.0,0.0,0.043144475340112856
24,0.0,0,0.0,0.0,0.0,0.5562017709694895
25,1.0,0,0.3333333333333333,0.5773502691896258,1.0,0.5429115162793985
26,1.0,2,0.6666666666666666,1.1547005383792517,2.0,0.21903838198213252
27,0.0,0,0.0,0.0,0.0,0.03702905608369077
28,0.0,0,0.0,0.0,0.0,0.12822276431732788
29,0.0,0,0.0,0.0,0.0,0.09985660384076567
30,0.0,0,0.0,0.0,0.0,0.1924543213678844
31,0.0,0,0.0,0.0,0.0,0.23522869025783918
32,0.0,0,0.0,0.0,0.0,0.01570021556641761
33,0.0,0,0.0,0.0,0.0,0.06054385730033611
34,1.0,2,0.6666666666666666,1.1547005383792517,2.0,0.24394221046447287
35,0.0,0,0.0,0.0,0.0,0.17434519065645976
36,0.0,0,0.0,0.0,0.0,0.4677157959067028
37,0.0,0,0.0,0.0,0.0,0.2650043641558223
38,2.0,0,0.0,0.0,0.0,0.5138952074395154
39,1.0,0,0.0,0.0,0.0,0.6382796071360324
40,0.0,0,0.0,0.0,0.0,0.004737675601737184
41,1.0,0,0.0,0.0,0.0,0.17508501671239843
42,0.0,0,0.0,0.0,0.0,0.5620854141843331
43,1.0,0,0.0,0.0,0.0,0.570929461969869
44,0.0,0,0.0,0.0,0.0,0.4576365788006891
45,1.0,0,0.0,0.0,0.0,0.41314099707920793
46,2.0,0,0.0,0.0,0.0,0.7286978223431555
47,0.0,0,0.0,0.0,0.0,0.1537821073226435
48,0.0,0,0.0,0.0,0.0,0.2585807840060339
49,1.0,2,0.6666666666666666,1.1547005383792517,2.0,0.5614474708050498
1,0.0,0,0.0,0.0,0.0,0.007924438302664828
2,1.0,0,0.5,1.0,2.0,0.3940122073982413
3,2.0,2,0.75,0.9574271077563381,3.0,0.8066493858377862
4,0.0,0,0.0,0.0,0.0,0.31452853133363384
5,1.0,0,0.25,0.5,1.0,0.12215801318057949
6,0.0,0,0.0,0.0,0.0,0.05027949179084038
7,0.0,0,0.0,0.0,0.0,0.16701069282021114
8,2.0,2,0.75,0.9574271077563381,3.0,0.38276468878294784
9,0.0,0,0.0,0.0,0.0,0.18889573608560944
10,0.0,0,0.0,0.0,0.0,0.242607842112715
11,0.0,0,0.0,0.0,0.0,0.09493569914919175
12,1.0,3,0.75,1.5,3.0,0.08230859317606809
13,2.0,0,0.25,0.5,1.0,0.7994678813996009
14,0.0,0,0.0,0.0,0.0,0.12704791675365948
15,1.0,0,0.5,1.0,2.0,0.16293865239337343
16,0.0,0,0.0,0.0,0.0,0.024970692870547723
17,1.0,0,0.5,1.0,2.0,0.15293922874965035
18,0.0,0,0.0,0.0,0.0,0.021947588043124112
19,0.0,0,0.0,0.0,0.0,0.021205366390374302
20,1.0,0,0.25,0.5,1.0,0.19502874652838997
21,0.0,0,0.0,0.0,0.0,0.22793538278786116
22,0.0,0,0.0,0.0,0.0,0.18129023897867225
23,0.0,0,0.0,0.0,0.0,0.07608943068806144
24,0.0,0,0.0,0.0,0.0,0.14589914250837768
25,1.0,0,0.25,0.5,1.0,0.2768337222501594
26,1.0,0,0.5,1.0,2.0,0.20866482871875636
27,0.0,0,0.0,0.0,0.0,0.0418705277514249
28,0.0,0,0.0,0.0,0.0,0.1570047026707926
29,1.0,3,0.75,1.5,3.0,0.19772417841043374
30,0.0,0,0.0,0.0,0.0,0.010697003375726962
31,1.0,3,0.75,1.5,3.0,0.21485468395609209
32,0.0,0,0.0,0.0,0.0,0.14289028530633383
33,0.0,0,0.0,0.0,0.0,0.2205537717663451
34,2.0,2,1.0,1.1547005383792515,4.0,0.2716479854733856
35,0.0,0,0.0,0.0,0.0,0.43002973742186507
36,0.0,0,0.0,0.0,0.0,0.05324455134091978
37,0.0,0,0.0,0.0,0.0,0.3407151576473417
38,2.0,0,0.0,0.0,0.0,0.45266160663977606
39,1.0,0,0.0,0.0,0.0,0.7565122388749168
40,0.0,0,0.0,0.0,0.0,0.39060700565855444
41,1.0,0,0.0,0.0,0.0,0.24451604453077588
42,0.0,0,0.0,0.0,0.0,0.23451426221802874
43,1.0,0,0.0,0.0,0.0,0.3074999785454652
44,0.0,0,0.0,0.0,0.0,0.5273584696813898
45,1.0,0,0.0,0.0,0.0,0.12647718475564526
46,2.0,0,0.0,0.0,0.0,0.5965519437359794
47,0.0,0,0.0,0.0,0.0,0.17037993459606615
48,0.0,0,0.0,0.0,0.0,0.15177918867315676
49,2.0,2,1.0,1.1547005383792515,4.0,0.23768147667475975
1,0.0,0,0.0,0.0,0.0,0.34342424803547655
2,1.0,0,0.4,0.894427190999916,2.0,0.19520937180140913
3,2.0,0,0.6,0.8944271909999159,3.0,0.49953079278156876
4,0.0,0,0.0,0.0,0.0,0.04116418510826842
5,1.0,0,0.2,0.447213595499958,1.0,0.2080819385662828
6,0.0,0,0.0,0.0,0.0,0.019242193250563047
7,0.0,0,0.0,0.0,0.0,0.375599642913044
8,2.0,0,0.6,0.8944271909999159,3.0,0.5901783299022156
9,0.0,0,0.0,0.0,0.0,0.043259700555198836
10,0.0,0,0.0,0.0,0.0,0.07961091035377452
11,0.0,0,0.0,0.0,0.0,0.29769938635325344
12,1.0,0,0.6,1.3416407864998738,3.0,0.37031601115925905
13,3.0,2,0.6,0.8944271909999159,3.0,0.8705172232149248
14,0.0,0,0.0,0.0,0.0,0.35526810005694226
15,1.0,0,0.4,0.894427190999916,2.0,0.2777531821542158
16,0.0,0,0.0,0.0,0.0,0.2737262660748779
17,2.0,3,1.0,1.4142135623730951,5.0,0.675021253949978
18,0.0,0,0.0,0.0,0.0,0.15299111154490325
19,0.0,0,0.0,0.0,0.0,0.11639229107179748
20,1.0,0,0.2,0.447213595499958,1.0,0.19807633977707784
21,0.0,0,0.0,0.0,0.0,0.03339614637308218
22,0.0,0,0.0,0.0,0.0,0.22600273289633185
23,0.0,0,0.0,0.0,0.0,0.0975670191879733
24,0.0,0,0.0,0.0,0.0,0.030112975549903605
25,1.0,0,0.2,0.447213595499958,1.0,0.29524691183974167
26,2.0,3,1.0,1.4142135623730951,5.0,0.5282108175737429
27,0.0,0,0.0,0.0,0.0,0.4472115865080919
28,0.0,0,0.0,0.0,0.0,0.44970857861321284
29,1.0,0,0.6,1.3416407864998738,3.0,0.3445820292966264
30,0.0,0,0.0,0.0,0.0,0.24394756806183515
31,2.0,3,1.2,1.6431676725154984,6.0,0.594581027616836
32,0.0,0,0.0,0.0,0.0,0.022137314482089807
33,0.0,0,0.0,0.0,0.0,0.494405360841027
34,2.0,0,0.8,1.0954451150103321,4.0,0.18052753845892575
35,0.0,0,0.0,0.0,0.0,0.11036742860554383
36,0.0,0,0.0,0.0,0.0,0.15879222407542973
37,1.0,4,0.8,1.7888543819998317,4.0,0.07391326402662773
38,2.0,0,0.0,0.0,0.0,0.5285107414547394
39,1.0,0,0.0,0.0,0.0,0.2334913473813
40,0.0,0,0.0,0.0,0.0,0.00531234984455071
41,2.0,3,0.6,1.3416407864998738,3.0,0.4341783968063977
42,0.0,0,0.0,0.0,0.0,0.30078867712013424
43,2.0,3,0.6,1.3416407864998738,3.0,0.10280253865717699
44,0.0,0,0.0,0.0,0.0,0.013546394659465616
45,1.0,0,0.0,0.0,0.0,0.26177462168111426
46,2.0,0,0.0,0.0,0.0,0.6535658948647128
47,0.0,0,0.0,0.0,0.0,0.15821829899251796
48,0.0,0,0.0,0.0,0.0,0.008554436083549473
49,2.0,0,0.8,1.0954451150103321,4.0,0.47125535075645797
1,0.0,0,0.0,0.0,0.0,0.017846611587541132
2,1.0,0,0.3333333333333333,0.816496580927726,2.0,0.07440223636434758
3,2.0,0,0.5,0.8366600265340756,3.0,0.4226077131726041
4,0.0,0,0.0,0.0,0.0,0.2431132972782669
5,1.0,0,0.16666666666666666,0.408248290463863,1.0,0.47257184841000865
6,0.0,0,0.0,0.0,0.0,0.06649114370241863
7,0.0,0,0.0,0.0,0.0,0.0034295160280313442
8,3.0,3,1.0,1.2649110640673518,6.0,0.29533677120962865
9,0.0,0,0.0,0.0,0.0,0.1578938979597499
10,0.0,0,0.0,0.0,0.0,0.14030402546658632
11,0.0,0,0.0,0.0,0.0,0.017239866453153365
12,1.0,0,0.5,1.224744871391589,3.0,0.2525496268773165
