DrawNumber,drawDate,Number,Distance,NumberofDrawsWhenHit,IsBonusNumber,TotalHits,IsHot_True
3438,2025-01-04,1,-0.3089127125801722,-0.2831759519053478,False,-0.2230748382864199,True
3439,2025-01-08,1,-0.1248174338668534,-0.2831759519053478,False,-0.2230748382864199,True
3440,2025-01-11,1,0.059277844846465394,-0.2831759519053478,False,-0.2230748382864199,True
3441,2025-01-15,1,0.2433731235597842,-0.2831759519053478,False,-0.2230748382864199,True
3442,2025-01-18,1,-1.0452938274334473,1.9320008958154216,False,-0.08111812301324342,False
3443,2025-01-22,1,-0.8611985487201286,-0.2831759519053478,False,-0.08111812301324342,True
3444,2025-01-25,1,-0.6771032700068098,-0.2831759519053478,False,-0.08111812301324342,True
3445,2025-01-29,1,-0.493007991293491,-0.2831759519053478,False,-0.08111812301324342,True
3446,2025-02-01,1,-0.3089127125801722,-0.2831759519053478,False,-0.08111812301324342,True
3438,2025-01-04,2,-0.3089127125801722,-0.2831759519053478,False,-0.5069882688327729,True
3439,2025-01-08,2,-0.1248174338668534,-0.2831759519053478,False,-0.5069882688327729,True
3440,2025-01-11,2,0.059277844846465394,-0.2831759519053478,False,-0.5069882688327729,True
3441,2025-01-15,2,0.2433731235597842,-0.2831759519053478,False,-0.5069882688327729,True
3442,2025-01-18,2,0.42746840227310295,-0.2831759519053478,False,-0.5069882688327729,True
3443,2025-01-22,2,-1.0452938274334473,2.208898001780518,False,-0.36503155355959643,False
3444,2025-01-25,2,-0.8611985487201286,-0.2831759519053478,False,-0.36503155355959643,True
3445,2025-01-29,2,-0.6771032700068098,-0.2831759519053478,False,-0.36503155355959643,True
3446,2025-02-01,2,-0.493007991293491,-0.2831759519053478,False,-0.36503155355959643,True
3438,2025-01-04,3,2.268421189406291,-0.2831759519053478,False,-2.068512136837714,False
3439,2025-01-08,3,2.45251646811961,-0.2831759519053478,False,-2.068512136837714,False
3440,2025-01-11,3,2.6366117468329286,-0.2831759519053478,False,-2.068512136837714,False
3441,2025-01-15,3,2.8207070255462474,-0.2831759519053478,False,-2.068512136837714,False
3442,2025-01-18,3,3.0048023042595657,-0.2831759519053478,False,-2.068512136837714,False
3443,2025-01-22,3,-1.0452938274334473,6.085457485291865,False,-1.926555421564538,False
3444,2025-01-25,3,-0.8611985487201286,-0.2831759519053478,False,-1.926555421564538,True
3445,2025-01-29,3,-0.6771032700068098,-0.2831759519053478,False,-1.926555421564538,True
3446,2025-02-01,3,-1.0452938274334473,0.5475153659899408,False,-1.7845987062913613,False
3438,2025-01-04,4,-0.8611985487201286,-0.2831759519053478,False,-0.2230748382864199,True
3439,2025-01-08,4,-0.6771032700068098,-0.2831759519053478,False,-0.2230748382864199,True
3440,2025-01-11,4,-0.493007991293491,-0.2831759519053478,False,-0.2230748382864199,True
3441,2025-01-15,4,-0.3089127125801722,-0.2831759519053478,False,-0.2230748382864199,True
3442,2025-01-18,4,-0.1248174338668534,-0.2831759519053478,False,-0.2230748382864199,True
3443,2025-01-22,4,0.059277844846465394,-0.2831759519053478,False,-0.2230748382864199,True
3444,2025-01-25,4,0.2433731235597842,-0.2831759519053478,False,-0.2230748382864199,True
3445,2025-01-29,4,0.42746840227310295,-0.2831759519053478,False,-0.2230748382864199,True
3446,2025-02-01,4,0.6115636809864218,-0.2831759519053478,False,-0.2230748382864199,True
3438,2025-01-04,5,0.6115636809864218,-0.2831759519053478,False,1.0545355991721685,True
3439,2025-01-08,5,0.7956589596997405,-0.2831759519053478,False,1.0545355991721685,True
3440,2025-01-11,5,0.9797542384130593,-0.2831759519053478,False,1.0545355991721685,False
3441,2025-01-15,5,1.163849517126378,-0.2831759519053478,False,1.0545355991721685,False
3442,2025-01-18,5,1.3479447958396968,-0.2831759519053478,False,1.0545355991721685,False
3443,2025-01-22,5,1.5320400745530158,-0.2831759519053478,False,1.0545355991721685,False
3444,2025-01-25,5,1.7161353532663346,-0.2831759519053478,False,1.0545355991721685,False
3445,2025-01-29,5,1.9002306319796534,-0.2831759519053478,False,1.0545355991721685,False
3446,2025-02-01,5,2.084325910692972,-0.2831759519053478,False,1.0545355991721685,False
3438,2025-01-04,6,-0.8611985487201286,-0.2831759519053478,False,-0.9328584146523023,True
3439,2025-01-08,6,-0.6771032700068098,-0.2831759519053478,False,-0.9328584146523023,True
3440,2025-01-11,6,-0.493007991293491,-0.2831759519053478,False,-0.9328584146523023,True
3441,2025-01-15,6,-0.3089127125801722,-0.2831759519053478,False,-0.9328584146523023,True
3442,2025-01-18,6,-0.1248174338668534,-0.2831759519053478,False,-0.9328584146523023,True
3443,2025-01-22,6,0.059277844846465394,-0.2831759519053478,False,-0.9328584146523023,True
3444,2025-01-25,6,0.2433731235597842,-0.2831759519053478,False,-0.9328584146523023,True
3445,2025-01-29,6,0.42746840227310295,-0.2831759519053478,False,-0.9328584146523023,True
3446,2025-02-01,6,0.6115636809864218,-0.2831759519053478,False,-0.9328584146523023,True
3438,2025-01-04,7,1.163849517126378,-0.2831759519053478,False,-0.2230748382864199,False
3439,2025-01-08,7,-1.0452938274334473,3.3164864256409023,False,-0.08111812301324342,False
3440,2025-01-11,7,-0.8611985487201286,-0.2831759519053478,False,-0.08111812301324342,True
3441,2025-01-15,7,-0.6771032700068098,-0.2831759519053478,False,-0.08111812301324342,True
3442,2025-01-18,7,-0.493007991293491,-0.2831759519053478,False,-0.08111812301324342,True
3443,2025-01-22,7,-0.3089127125801722,-0.2831759519053478,False,-0.08111812301324342,True
3444,2025-01-25,7,-1.0452938274334473,1.1013095779201332,True,0.06083859225993307,False
3445,2025-01-29,7,-0.8611985487201286,-0.2831759519053478,False,0.06083859225993307,True
3446,2025-02-01,7,-0.6771032700068098,-0.2831759519053478,False,0.06083859225993307,True
3438,2025-01-04,8,-0.6771032700068098,-0.2831759519053478,False,0.4867087380794626,True
3439,2025-01-08,8,-1.0452938274334473,0.5475153659899408,False,0.628665453352639,False
3440,2025-01-11,8,-0.8611985487201286,-0.2831759519053478,False,0.628665453352639,True
3441,2025-01-15,8,-0.6771032700068098,-0.2831759519053478,False,0.628665453352639,True
3442,2025-01-18,8,-0.493007991293491,-0.2831759519053478,False,0.628665453352639,True
3443,2025-01-22,8,-0.3089127125801722,-0.2831759519053478,False,0.628665453352639,True
3444,2025-01-25,8,-0.1248174338668534,-0.2831759519053478,False,0.628665453352639,True
3445,2025-01-29,8,-1.0452938274334473,1.3782066838852292,False,0.7706221686258156,False
3446,2025-02-01,8,-0.8611985487201286,-0.2831759519053478,False,0.7706221686258156,True
3438,2025-01-04,9,3.0048023042595657,-0.2831759519053478,False,0.06083859225993307,False
3439,2025-01-08,9,-1.0452938274334473,6.085457485291865,True,0.20279530753310956,False
3440,2025-01-11,9,-1.0452938274334473,-0.0062788459402516004,False,0.3447520228062861,False
3441,2025-01-15,9,-1.0452938274334473,-0.0062788459402516004,False,0.4867087380794626,False
3442,2025-01-18,9,-0.8611985487201286,-0.2831759519053478,False,0.4867087380794626,True
3443,2025-01-22,9,-0.6771032700068098,-0.2831759519053478,False,0.4867087380794626,True
3444,2025-01-25,9,-0.493007991293491,-0.2831759519053478,False,0.4867087380794626,True
3445,2025-01-29,9,-1.0452938274334473,0.8244124719550369,False,0.628665453352639,False
3446,2025-02-01,9,-0.8611985487201286,-0.2831759519053478,False,0.628665453352639,True
