Number,HitsLastMonth,MissStreak,MissStreak_RollingMean,MissStreak_RollingStd,MissStreak_RollingSum,ThompsonProb
1,0.0,0,0.0,0.0,0.0,0.6953865028353706
2,0.0,0,0.0,0.0,0.0,0.6643230682021553
3,0.0,0,0.0,0.0,0.0,0.7233656389030881
4,0.0,0,0.0,0.0,0.0,0.3285120069085048
5,0.0,0,0.0,0.0,0.0,0.5355846637124309
6,0.0,0,0.0,0.0,0.0,0.5475281639543254
7,0.0,0,0.0,0.0,0.0,0.13489311825316275
8,0.0,0,0.0,0.0,0.0,0.04324146282052261
9,0.0,0,0.0,0.0,0.0,0.3196923414281722
10,0.0,0,0.0,0.0,0.0,0.5384778700898896
11,0.0,0,0.0,0.0,0.0,0.5408244230890976
12,0.0,0,0.0,0.0,0.0,0.09762944123761019
13,1.0,0,0.0,0.0,0.0,0.7935633335721055
14,0.0,0,0.0,0.0,0.0,0.12234926525271271
15,0.0,0,0.0,0.0,0.0,0.3258025401415065
16,0.0,0,0.0,0.0,0.0,0.23782772636617971
17,0.0,0,0.0,0.0,0.0,0.2722142826508733
18,0.0,0,0.0,0.0,0.0,0.3319567013540852
19,0.0,0,0.0,0.0,0.0,0.34697444358758045
20,0.0,0,0.0,0.0,0.0,0.4468869352651665
21,0.0,0,0.0,0.0,0.0,0.05582458333487412
22,0.0,0,0.0,0.0,0.0,0.22802454645844328
23,0.0,0,0.0,0.0,0.0,0.3070654056819932
24,0.0,0,0.0,0.0,0.0,0.1815419495971821
25,0.0,0,0.0,0.0,0.0,0.5451725503831231
26,0.0,0,0.0,0.0,0.0,0.5437721563784369
27,0.0,0,0.0,0.0,0.0,0.164982851079212
28,0.0,0,0.0,0.0,0.0,0.2379935258216329
29,0.0,0,0.0,0.0,0.0,0.33244215542154953
30,0.0,0,0.0,0.0,0.0,0.07387503852237358
31,0.0,0,0.0,0.0,0.0,0.4589212600589251
32,0.0,0,0.0,0.0,0.0,0.5307742789996678
33,0.0,0,0.0,0.0,0.0,0.47498888518923255
34,0.0,0,0.0,0.0,0.0,0.43097617124756094
35,0.0,0,0.0,0.0,0.0,0.3030136345067352
36,0.0,0,0.0,0.0,0.0,0.05194841102817324
37,0.0,0,0.0,0.0,0.0,0.22231749093517517
38,1.0,0,0.0,0.0,0.0,0.45217376885916605
39,1.0,0,0.0,0.0,0.0,0.31933973028144647
40,0.0,0,0.0,0.0,0.0,0.44473016749457334
41,1.0,0,0.0,0.0,0.0,0.21459367670129337
42,0.0,0,0.0,0.0,0.0,0.05339765751365753
43,1.0,0,0.0,0.0,0.0,0.6138919521762842
44,0.0,0,0.0,0.0,0.0,0.3264886432722494
